START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,START_POS_5 POSITION,START_POS_5 LAP TIME,START_POS_5 ELAPSED TIME,START_POS_6 POSITION,START_POS_6 LAP TIME,START_POS_6 ELAPSED TIME,START_POS_7 POSITION,START_POS_7 LAP TIME,START_POS_7 ELAPSED TIME,START_POS_8 POSITION,START_POS_8 LAP TIME,START_POS_8 ELAPSED TIME,START_POS_9 POSITION,START_POS_9 LAP TIME,START_POS_9 ELAPSED TIME,season,competition,event,gender,round,race
5,8.95,8.95,4,8.77,8.77,8,9.35,9.35,3,8.70,8.70,2,8.69,8.69,1,8.62,8.62,6,9.11,9.11,7,9.20,9.20,9,9.51,9.51,2012-2013,"ISU World Cup 2012/2013, Dresden (GER)",1500m(1),m,Semifinals,3
5,11.93,20.88,4,11.97,20.74,8,11.96,21.31,2,11.87,20.57,1,11.82,20.51,3,12.09,20.71,6,11.93,21.04,7,11.94,21.14,9,11.93,21.44,2012-2013,"ISU World Cup 2012/2013, Dresden (GER)",1500m(1),m,Semifinals,3
6,11.42,32.30,4,11.42,32.16,8,11.20,32.51,1,11.22,31.79,2,11.34,31.85,3,11.34,32.05,5,11.22,32.26,7,11.25,32.39,9,11.22,32.66,2012-2013,"ISU World Cup 2012/2013, Dresden (GER)",1500m(1),m,Semifinals,3
4,10.82,43.12,7,11.07,43.23,8,10.92,43.43,2,11.09,42.88,1,10.98,42.83,3,10.99,43.04,5,10.88,43.14,6,10.84,43.23,9,10.88,43.54,2012-2013,"ISU World Cup 2012/2013, Dresden (GER)",1500m(1),m,Semifinals,3
1,9.69,52.81,8,10.12,53.35,7,9.92,53.35,3,10.10,52.98,2,10.06,52.89,5,10.09,53.13,4,9.92,53.06,6,10.02,53.25,9,9.96,53.50,2012-2013,"ISU World Cup 2012/2013, Dresden (GER)",1500m(1),m,Semifinals,3
2,9.77,1:02.58,8,9.96,1:03.31,7,9.81,1:03.16,1,9.47,1:02.45,3,9.80,1:02.69,5,9.74,1:02.87,4,9.73,1:02.79,6,9.76,1:03.01,9,9.92,1:03.42,2012-2013,"ISU World Cup 2012/2013, Dresden (GER)",1500m(1),m,Semifinals,3
1,9.44,1:12.02,8,9.42,1:12.73,7,9.45,1:12.61,2,9.66,1:12.11,3,9.51,1:12.20,5,9.55,1:12.42,4,9.52,1:12.31,6,9.50,1:12.51,9,9.44,1:12.86,2012-2013,"ISU World Cup 2012/2013, Dresden (GER)",1500m(1),m,Semifinals,3
1,9.44,1:21.46,8,9.54,1:22.27,7,9.52,1:22.13,2,9.44,1:21.55,3,9.37,1:21.57,5,9.41,1:21.83,4,9.45,1:21.76,6,9.47,1:21.98,9,9.54,1:22.40,2012-2013,"ISU World Cup 2012/2013, Dresden (GER)",1500m(1),m,Semifinals,3
1,9.26,1:30.72,8,9.30,1:31.57,7,9.24,1:31.37,3,9.39,1:30.94,2,9.27,1:30.84,5,9.36,1:31.19,4,9.32,1:31.08,6,9.30,1:31.28,9,9.32,1:31.72,2012-2013,"ISU World Cup 2012/2013, Dresden (GER)",1500m(1),m,Semifinals,3
1,9.17,1:39.89,8,9.22,1:40.79,7,9.10,1:40.47,3,9.16,1:40.10,2,9.16,1:40.00,5,9.10,1:40.29,4,9.12,1:40.20,6,9.07,1:40.35,9,9.21,1:40.93,2012-2013,"ISU World Cup 2012/2013, Dresden (GER)",1500m(1),m,Semifinals,3
1,9.01,1:48.90,9,9.65,1:50.44,7,9.16,1:49.63,3,9.06,1:49.16,2,9.03,1:49.03,5,9.02,1:49.31,4,9.05,1:49.25,6,9.06,1:49.41,8,9.25,1:50.18,2012-2013,"ISU World Cup 2012/2013, Dresden (GER)",1500m(1),m,Semifinals,3
1,8.98,1:57.88,9,10.00,2:00.44,7,9.22,1:58.85,4,9.05,1:58.21,2,9.06,1:58.09,5,8.96,1:58.27,3,8.90,1:58.15,6,9.06,1:58.47,8,9.58,1:59.76,2012-2013,"ISU World Cup 2012/2013, Dresden (GER)",1500m(1),m,Semifinals,3
1,8.99,2:06.87,9,10.41,2:10.85,7,9.63,2:08.48,5,9.43,2:07.64,3,9.26,2:07.35,4,9.19,2:07.46,2,8.80,2:06.95,6,9.18,2:07.65,8,10.04,2:09.80,2012-2013,"ISU World Cup 2012/2013, Dresden (GER)",1500m(1),m,Semifinals,3
1,9.19,2:16.056,8,10.87,2:21.716,6,10.00,2:18.473,0,,PEN,3,9.64,2:16.989,4,9.62,2:17.078,2,9.25,2:16.200,5,10.09,2:17.733,7,10.47,2:20.263,2012-2013,"ISU World Cup 2012/2013, Dresden (GER)",1500m(1),m,Semifinals,3
