Tomas GRESCHNER POSITION,Tomas GRESCHNER LAP TIME,Tomas GRESCHNER ELAPSED TIME,Fabio CARTA POSITION,Fabio CARTA LAP TIME,Fabio CARTA ELAPSED TIME,Denis ZASLAVSKY POSITION,Denis ZASLAVSKY LAP TIME,Denis ZASLAVSKY ELAPSED TIME,Andre HARTWIG POSITION,Andre HARTWIG LAP TIME,Andre HARTWIG ELAPSED TIME,Volodymyr GRYGORIEV POSITION,Volodymyr GRYGORIEV LAP TIME,Volodymyr GRYGORIEV ELAPSED TIME,Cees JUFFERMANS POSITION,Cees JUFFERMANS LAP TIME,Cees JUFFERMANS ELAPSED TIME
1,7.706,7.706,5,8.398,8.398,6,8.560,8.560,2,7.980,7.980,3,8.144,8.144,4,8.186,8.186
1,11.783,19.488,6,11.804,20.202,5,11.554,20.114,2,11.803,19.782,4,11.895,20.038,3,11.752,19.938
1,11.689,31.176,6,11.653,31.854,5,11.699,31.813,2,11.603,31.384,4,11.635,31.672,3,11.624,31.561
4,11.800,42.976,5,11.143,42.997,6,11.230,43.042,1,11.263,42.646,2,11.016,42.688,3,11.194,42.755
1,9.971,52.946,6,10.611,53.608,5,10.454,53.495,2,10.561,53.207,3,10.616,53.304,4,10.564,53.318
1,10.597,1:03.542,5,10.377,1:03.984,6,10.641,1:04.136,2,10.576,1:03.783,4,10.647,1:03.950,3,10.577,1:03.894
1,10.214,1:13.756,3,9.869,1:13.853,6,9.996,1:14.132,4,10.118,1:13.900,5,10.045,1:13.995,2,9.945,1:13.839
6,10.000,1:23.756,1,9.367,1:23.220,4,9.295,1:23.427,5,9.583,1:23.483,2,9.367,1:23.362,3,9.527,1:23.365
4,9.640,1:33.395,2,9.749,1:32.968,6,19.535,1:42.962,3,9.877,1:33.359,5,16.766,1:40.128,1,9.561,1:32.926
4,9.827,1:43.222,2,10.049,1:43.017,6,23.537,2:06.499,3,9.783,1:43.141,5,18.035,1:58.162,1,9.964,1:42.889
4,10.178,1:53.400,2,9.819,1:52.836,6,18.074,2:24.572,3,9.807,1:52.948,5,15.523,2:13.685,1,9.842,1:52.730
4,10.407,2:03.806,1,9.531,2:02.366,6,15.209,2:39.781,3,9.667,2:02.614,5,13.718,2:27.403,2,9.731,2:02.461
4,11.326,2:15.131,1,9.417,2:11.783,6,14.019,2:53.799,3,9.752,2:12.366,5,14.908,2:42.310,2,9.504,2:11.964
4,12.16,2:27.283,2,9.73,2:21.504,0,,DQ,3,9.54,2:21.897,0,,DQ,1,9.53,2:21.491
