FU Tian Yu POSITION,FU Tian Yu LAP TIME,FU Tian Yu ELAPSED TIME,Tatiana BORODULINA POSITION,Tatiana BORODULINA LAP TIME,Tatiana BORODULINA ELAPSED TIME,Myrtille GOLLIN POSITION,Myrtille GOLLIN LAP TIME,Myrtille GOLLIN ELAPSED TIME,Amelie GOULET-NADON POSITION,Amelie GOULET-NADON LAP TIME,Amelie GOULET-NADON ELAPSED TIME,Katia ZINI POSITION,Katia ZINI LAP TIME,Katia ZINI ELAPSED TIME
5,15.016,15.016,2,14.710,14.710,4,14.734,14.734,1,14.667,14.667,3,14.713,14.713
5,11.325,26.340,4,11.504,26.214,2,11.358,26.092,3,11.455,26.121,1,11.205,25.917
5,10.118,36.457,4,10.190,36.403,1,9.866,35.957,3,10.162,36.283,2,10.309,36.226
1,9.697,46.154,2,9.828,46.231,5,10.532,46.489,3,10.109,46.391,4,10.259,46.484
1,9.494,55.647,3,9.562,55.792,5,10.175,56.664,2,9.392,55.783,4,9.512,55.995
2,9.949,1:05.596,1,9.776,1:05.568,5,10.394,1:07.057,3,10.020,1:05.802,4,9.914,1:05.909
1,9.914,1:15.510,3,10.154,1:15.722,5,10.840,1:17.896,2,9.806,1:15.607,4,9.948,1:15.857
2,10.126,1:25.635,3,10.063,1:25.784,5,11.069,1:28.965,1,9.648,1:25.254,4,9.985,1:25.841
2,10.33,1:35.962,3,10.19,1:35.973,5,11.39,1:40.348,1,10.05,1:35.296,4,10.24,1:36.078
