Yevgen YAKOVLEV POSITION,Yevgen YAKOVLEV LAP TIME,Yevgen YAKOVLEV ELAPSED TIME,Fabio CARTA POSITION,Fabio CARTA LAP TIME,Fabio CARTA ELAPSED TIME,Jon ELEY POSITION,Jon ELEY LAP TIME,Jon ELEY ELAPSED TIME,Alex IZYKOWSKI POSITION,Alex IZYKOWSKI LAP TIME,Alex IZYKOWSKI ELAPSED TIME
1,13.083,13.083,2,13.190,13.190,4,13.221,13.221,3,13.192,13.192
2,10.155,23.237,1,10.045,23.234,3,10.045,23.266,4,10.136,23.328
1,9.694,32.930,2,9.799,33.033,3,9.864,33.129,4,26.390,49.717
1,9.643,42.573,2,9.643,42.675,3,9.642,42.770,4,15.779,1:05.495
2,9.572,52.144,1,9.447,52.121,3,9.506,52.276,4,11.156,1:16.651
1,9.654,1:01.798,2,9.745,1:01.865,3,9.611,1:01.886,4,11.458,1:28.109
3,9.938,1:11.735,2,9.772,1:11.637,1,9.640,1:11.526,4,10.822,1:38.930
3,9.974,1:21.709,2,9.409,1:21.045,1,9.397,1:20.923,4,11.793,1:50.723
3,10.45,1:32.150,2,10.51,1:31.549,1,9.83,1:30.748,4,11.61,2:02.329
