Arno JASPERS POSITION,Arno JASPERS LAP TIME,Arno JASPERS ELAPSED TIME,Travis JAYNER POSITION,Travis JAYNER LAP TIME,Travis JAYNER ELAPSED TIME,CONFORTOLA Yuri POSITION,CONFORTOLA Yuri LAP TIME,CONFORTOLA Yuri ELAPSED TIME,Oliver HORSEPOOL POSITION,Oliver HORSEPOOL LAP TIME,Oliver HORSEPOOL ELAPSED TIME,Freek van der WART POSITION,Freek van der WART LAP TIME,Freek van der WART ELAPSED TIME
0,7.956,7.956,0,8.145,8.145,0,8.290,8.290,0,8.173,8.173,0,8.554,8.554
0,11.694,19.650,0,11.645,19.791,0,11.532,19.822,0,11.600,19.773,0,11.543,20.097
0,11.281,30.931,0,11.313,31.103,0,11.085,30.907,0,11.368,31.141,0,11.236,31.333
0,11.252,42.183,0,11.169,42.272,0,11.522,42.430,0,11.222,42.363,0,11.280,42.613
0,11.084,53.266,0,10.966,53.238,0,10.877,53.306,0,10.958,53.321,0,10.753,53.365
0,10.233,1:03.499,0,10.006,1:03.244,0,9.885,1:03.191,0,10.131,1:03.451,0,9.910,1:03.275
0,10.068,1:13.567,0,10.292,1:13.535,0,10.013,1:13.204,0,10.357,1:13.808,0,10.114,1:13.389
0,10.188,1:23.756,0,9.824,1:23.359,0,10.054,1:23.258,0,9.627,1:23.435,0,9.832,1:23.221
0,9.879,1:33.634,0,9.936,1:33.295,0,10.139,1:33.397,0,9.903,1:33.337,0,10.050,1:33.271
0,10.185,1:43.819,0,9.967,1:43.263,0,10.021,1:43.417,0,10.017,1:43.354,0,9.963,1:43.235
0,10.624,1:54.443,0,9.944,1:53.207,0,9.735,1:53.152,0,9.915,1:53.269,0,10.017,1:53.252
0,11.234,2:05.677,0,10.032,2:03.239,0,9.951,2:03.103,0,9.809,2:03.078,0,10.171,2:03.423
0,11.606,2:17.283,0,9.845,2:13.084,0,9.322,2:12.426,0,9.839,2:12.917,0,10.519,2:13.942
0,12.063,2:29.346,0,10.313,2:23.397,0,10.147,2:22.572,0,10.021,2:22.938,0,10.888,2:24.830
