Elena KAPLAN POSITION,Elena KAPLAN LAP TIME,Elena KAPLAN ELAPSED TIME,Katalin KRISTO POSITION,Katalin KRISTO LAP TIME,Katalin KRISTO ELAPSED TIME,Ekaterina BELOVA POSITION,Ekaterina BELOVA LAP TIME,Ekaterina BELOVA ELAPSED TIME,Biba SAKURAI POSITION,Biba SAKURAI LAP TIME,Biba SAKURAI ELAPSED TIME,JUNG Eun-Ju POSITION,JUNG Eun-Ju LAP TIME,JUNG Eun-Ju ELAPSED TIME
1,8.772,8.772,2,8.788,8.788,4,8.963,8.963,3,8.890,8.890,5,9.296,9.296
1,13.176,21.947,4,13.567,22.355,3,13.260,22.222,2,13.275,22.165,5,13.277,22.573
1,12.820,34.767,4,12.670,35.025,3,12.778,35.000,2,12.822,34.988,5,12.889,35.462
1,12.686,47.453,3,12.689,47.714,4,12.723,47.723,2,12.655,47.643,5,12.473,47.936
2,12.188,59.641,1,11.791,59.505,4,12.072,59.794,3,12.085,59.727,5,12.100,1:00.036
2,10.767,1:10.407,1,10.639,1:10.144,3,10.711,1:10.506,4,10.912,1:10.639,5,10.832,1:10.868
2,11.146,1:21.553,1,11.285,1:21.429,4,11.205,1:21.711,3,10.980,1:21.619,5,11.030,1:21.898
2,11.034,1:32.587,1,10.944,1:32.373,4,11.071,1:32.782,3,11.153,1:32.772,5,11.000,1:32.898
2,10.837,1:43.424,1,10.809,1:43.181,3,10.732,1:43.513,4,10.796,1:43.568,5,10.800,1:43.698
5,10.563,1:53.987,2,10.325,1:53.506,3,10.007,1:53.520,1,9.927,1:53.495,4,10.173,1:53.870
5,10.750,2:04.737,3,10.144,2:03.650,2,10.033,2:03.553,1,9.875,2:03.371,4,9.918,2:03.788
5,10.794,2:15.531,4,10.396,2:14.046,1,9.831,2:13.384,3,10.191,2:13.561,2,9.684,2:13.472
5,10.872,2:26.403,4,10.535,2:24.581,3,10.252,2:23.636,2,10.004,2:23.566,1,9.505,2:22.977
5,11.207,2:37.611,4,11.107,2:35.689,3,10.464,2:34.100,2,10.334,2:33.899,1,9.732,2:32.709
