Einar AGDESTEIN POSITION,Einar AGDESTEIN LAP TIME,Einar AGDESTEIN ELAPSED TIME,Philemon RAINER POSITION,Philemon RAINER LAP TIME,Philemon RAINER ELAPSED TIME,Edin BRANKOVIC POSITION,Edin BRANKOVIC LAP TIME,Edin BRANKOVIC ELAPSED TIME,Maksim SIARHEYU POSITION,Maksim SIARHEYU LAP TIME,Maksim SIARHEYU ELAPSED TIME,Shaolin Sandor LIU POSITION,Shaolin Sandor LIU LAP TIME,Shaolin Sandor LIU ELAPSED TIME,KNEGT Sjinkie POSITION,KNEGT Sjinkie LAP TIME,KNEGT Sjinkie ELAPSED TIME
2,8.56,8.56,5,8.91,8.91,1,8.44,8.44,3,8.76,8.76,6,9.00,9.00,4,8.86,8.86
2,11.20,19.76,6,11.34,20.25,1,11.24,19.68,3,11.11,19.87,5,11.08,20.08,4,11.11,19.97
1,11.35,31.11,6,11.40,31.65,2,11.45,31.13,3,11.43,31.30,5,11.45,31.53,4,11.42,31.39
1,11.67,42.78,6,11.71,43.36,2,11.77,42.90,3,11.73,43.03,5,11.70,43.23,4,11.72,43.11
1,11.71,54.49,6,11.62,54.98,2,11.70,54.60,3,11.70,54.73,5,11.65,54.88,4,11.67,54.78
2,11.05,1:05.54,6,11.12,1:06.10,3,11.03,1:05.63,1,10.62,1:05.35,5,11.05,1:05.93,4,11.02,1:05.80
2,9.92,1:15.46,6,10.14,1:16.24,3,9.94,1:15.57,1,10.05,1:15.40,5,9.89,1:15.82,4,9.88,1:15.68
2,9.91,1:25.37,6,10.20,1:26.44,3,9.94,1:25.51,1,9.87,1:25.27,5,9.89,1:25.71,4,9.94,1:25.62
2,9.72,1:35.09,6,10.45,1:36.89,3,9.66,1:35.17,1,9.71,1:34.98,5,9.67,1:35.38,4,9.63,1:35.25
3,9.63,1:44.72,6,10.88,1:47.77,5,9.69,1:44.86,1,9.67,1:44.65,4,9.38,1:44.76,2,9.42,1:44.67
4,9.81,1:54.53,6,11.14,1:58.91,5,9.69,1:54.55,3,9.65,1:54.30,2,9.05,1:53.81,1,9.03,1:53.70
5,10.04,2:04.57,6,11.56,2:10.47,4,9.69,2:04.24,3,9.74,2:04.04,2,8.90,2:02.71,1,8.90,2:02.60
5,10.68,2:15.25,6,12.12,2:22.59,4,9.83,2:14.07,3,9.93,2:13.97,2,9.07,2:11.78,1,9.08,2:11.68
5,11.31,2:26.56,6,11.81,2:34.40,0,,PHOTO,0,,PHOTO,2,9.29,2:21.07,1,9.20,2:20.88
